Id;Categoria;Plato
1;Parrilla;Asado
2;Parrilla;Asado con papas fritas
3;Parrilla;Vacio
4;Parrilla;Vacio con papas fritas
5;Parrilla;Lomo
6;Parrilla;Entraña
7;Parrilla;Lomo con papas fritas
8;Parrilla;Entraña con papas fritas
9;Parrilla;Bondiola
10;Parrilla;Bondiola con papas fritas
11;Parrilla;Chorizo / Morcilla
12;Parrilla;Provoleta
13;Parrilla;Bife de Chorizo
14;Parrilla;Bife de Chorizo con papas fritas
15;Minutas;Milanesa
16;Minutas;Milanesa con papas fritas
17;Minutas;Milanesa con pure
18;Minutas;Milanesa napolitana
19;Minutas;Milanesa napolitana con papas fritas
20;Minutas;Milanesa napolitana con pure
21;Minutas;Milanesa de pollo
22;Minutas;Milanesa de pollo con papas fritas
23;Minutas;Milanesa de pollo con pure
24;Minutas;Milanesa de pollo napolitana con papas fritas
25;Minutas;Milanesa de pollo napolitana con pure
26;Minutas;Churrasco de Pollo
27;Minutas;Churrasco de Pollo con papas fritas
28;Minutas;Churrasco de Pollo con pure
29;Minutas;Huevo Frito
30;Minutas;Papas fritas
31;Minutas;Pure de papa
32;Minutas;Porcion de tortilla
33;Minutas;Tortilla chica
34;Minutas;Tortilla grande (5 Personas)
35;Sandwiches;Choripan
36;Sandwiches;Bondiola
37;Sandwiches;Bondiola con 2 ingredientes
38;Sandwiches;Bondiola completa
39;Sandwiches;Vacio
40;Sandwiches;Vacio con 2 ingredientes
41;Sandwiches;Vacio completo
42;Sandwiches;Lomo
43;Sandwiches;Lomo
44;Sandwiches;Lomo
45;Sandwiches;Milanesa
46;Sandwiches;Milanesa con 2 ingredientes
47;Sandwiches;Milanesa
48;Sandwiches;Hamburguesa
49;Sandwiches;Hamburguesa con 2 ingredientes
50;Sandwiches;Hamburguesa completa
51;Achuras;Chinchulin
52;Achuras;Riñon
53;Ensaladas;Ensalada Chica
54;Ensaladas;Ensalada Mediana
55;Ensaladas;Ensalada Grande
56;Empanadas;Jamon y Queso
57;Pastas;Tallarines
58;Pastas;Tallarines con estofado
59;Pastas;Ravioles
60;Pastas;Ravioles con estofado
61;Pastas;Sorrentinos
62;Pastas;Sorrentinos con estofado
63;Pastas;ñoquis
64;Pastas;ñoquis con estofado
65;Vinos;Vaso de vino
66;Vinos;Trumpeter Malbec
67;Vinos;Cordero con piel de lobo Malbec
68;Postres;Popsy
69;Postres;Nesquick
70;Postres;Torpedo
71;Postres;Luxor
72;Postres;Tacita Sin Parar / Oreo
73;Postres;Queso y Dulce
74;Empanadas;Pollo
75;Empanadas;Carne
76;Empanadas;Carne cortada a cuchillo / fritas
77;Bebidas;Coca Cola
78;Bebidas;Coca Cola Zero
79;Bebidas;Fanta
80;Bebidas;Fanta Zero
81;Bebidas;Sprite
82;Bebidas;Sprite Zero
83;Bebidas;Levite / Aquarius
84;Bebidas;Powerade
85;Bebidas;Agua
86;Bebidas;Soda
87;Cervezas / Fernet;Brahma 1ltrs
88;Cervezas / Fernet;Stella Artois 1ltrs
89;Cervezas / Fernet;Corona 710cc
90;Cervezas / Fernet;LATA Heineken 473cc
91;Cervezas / Fernet;Medida fernet
92;Cervezas / Fernet;Fernet con coca
93;Cafeteria;Cafe
94;Cafeteria;Te
95;Cafeteria;Medialuna
96;Cafeteria;Medialuna con jamon y queso
97;Promos;Promo 1
98;Promos;Promo 2
99;Promos;Promo 3
100;Promos;Promo 4
101;Promos;Promo 5
102;Promos;Promo 6
103;Promos;Promo 7
104;Promos;Promo 8
105;Promos;Promo 9
106;Promos;Promo 10
